Institution,Year,Researchers,Supervisors,Publications,Rcenters,Projects
49,2013,9.5,3.1,18,2,1
49,2014,10.8,3.1,20,2,3
49,2015,10.9,3.1,22,2,2
49,2016,12,3.1,24,2,3
50,2011,34.7,12.7,70,4,12
50,2012,35.9,15.8,71,3,10
50,2013,33.9,15.8,74,4,11
50,2014,44.3,15.8,74,4,14
50,2015,35.5,15.8,77,3,13
50,2016,39.8,15.8,80,4,12
51,2011,15.3,4.4,29,3,4
51,2012,14.1,4.4,30,3,4
51,2013,15.9,5.2,31,3,4
51,2014,15.4,6.4,34,3,5
51,2015,15.4,4.4,34,3,5
51,2016,17,7.1,40,3,6
52,2011,24.5,6.6,46,3,5
52,2012,23.9,6.6,48,3,5
52,2013,24.5,6.6,55,3,12
52,2014,25.2,6.6,59,3,8
52,2015,25,6.6,62,3,9
52,2016,27.6,6.6,76,3,8
53,2011,12.4,5,26,3,2
53,2012,14.3,5,28,3,3
53,2013,11.9,5,31,3,2
53,2014,16.9,5,32,3,5
53,2015,14.9,5,34,3,4
53,2016,16.9,5,37,3,4
54,2011,26.9,12,51,4,6
54,2012,29.1,12,56,4,7
54,2013,29.2,12,61,4,8
54,2014,32.4,12,67,4,11
54,2015,39.4,12,80,3,12
54,2016,39.9,12,104,3,16
55,2011,12.9,5.7,26,3,2
55,2012,15,5.7,29,3,3
55,2013,19.7,4.7,37,3,5
55,2014,20.3,5.7,43,3,6
55,2015,19.9,5.7,44,3,6
55,2016,21.6,5.7,45,3,5
56,2011,14.3,8,29,2,5
56,2012,16.4,8,29,2,4
56,2013,14.9,8,30,2,4
56,2014,21.1,10,35,2,4
56,2015,19.5,10,35,2,4
56,2016,18.9,8,36,2,5
57,2011,3.3,3.6,13,2,1
57,2012,3.7,3.6,14,2,1
57,2013,3.7,3.6,14,2,1
57,2014,4.8,3.5,14,2,2
57,2015,4.9,3.5,16,2,1
57,2016,5.5,3.6,16,2,2
58,2011,16.9,8,38,3,5
58,2012,18.9,8,45,3,6
58,2013,17.1,8,45,3,5
58,2014,17.5,8,47,3,6
58,2015,19.3,8,47,3,6
58,2016,19.8,8,50,3,7
59,2011,7.9,2.4,16,3,2
59,2012,8.8,2.6,19,3,3
59,2013,8.8,2.6,20,3,2
59,2014,9.5,2.6,22,3,3
59,2015,10.7,2.4,22,3,3
59,2016,14,5.5,27,3,4
60,2011,9.9,4,20,2,2
60,2012,11.1,4,23,2,2
60,2013,11.4,4,29,2,6
60,2014,12.6,5.5,32,2,4
60,2015,15.4,4,33,2,5
60,2016,17.3,4,41,2,7
61,2011,4.4,5,14,2,1
61,2012,4.4,5,15,2,1
61,2013,5.8,5,15,2,2
61,2014,4.9,5,16,2,1
61,2015,4.5,5,16,2,1
61,2016,6.3,5,20,2,2
62,2011,17.4,11.8,35,3,5
62,2012,17.5,12,40,3,6
62,2013,19.4,12.9,42,4,5
62,2014,17.3,11,42,3,4
62,2015,19.9,11.8,42,4,5
62,2016,15.2,11.8,43,3,5
63,2011,31.9,17.8,86,3,10
63,2012,33.6,17.8,93,3,13
63,2013,37.9,16.8,112,3,14
63,2014,44.4,16.8,136,3,19
63,2015,47.2,21.8,156,3,20
63,2016,56.4,17.7,190,3,30
64,2011,23.9,13,48,3,8
64,2012,25.7,13,51,3,10
64,2013,26.9,15,58,3,10
64,2014,28.2,13,59,3,12
64,2015,27.9,13,61,3,10
64,2016,25.6,13,62,3,9
65,2011,4.9,1.7,10,3,1
